animalid,name,datetime,outcometype,outcomesubtype,animaltype,sex,castration,ageuponoutcome,breed,color
A699435,Oxford,Saturday,Adoption,,Dog,Male,Neutered,730,Pointer/Collie Smooth,Tricolor
A715138,Miki,Tuesday,Adoption,,Cat,Female,Spayed,730,Domestic Medium Hair Mix,Tortie
A704529,Dane,Thursday,Adoption,Foster,Dog,Male,Neutered,93,Pit Bull Mix,White/Brown
A670311,Tim,Monday,Adoption,,Cat,Male,Neutered,124,Domestic Shorthair Mix,Black/White
A676804,,Saturday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black/White
A688945,Elliot,Friday,Adoption,Foster,Dog,Male,Neutered,365,Miniature Poodle/Miniature Schnauzer,White
A665246,Alex,Friday,Transfer,Partner,Cat,Male,Intact,31,Domestic Shorthair Mix,Orange Tabby
A694537,Bentley,Thursday,Return_to_owner,,Dog,Male,Neutered,1460,Yorkshire Terrier,White/Gray
A673252,Kobe,Monday,Return_to_owner,,Dog,Male,Neutered,730,Chihuahua Shorthair Mix,Black/Tan
A713487,Elia,Sunday,Adoption,,Cat,Female,Spayed,310,Domestic Medium Hair Mix,Black/White
A691240,,Monday,Euthanasia,Suffering,Dog,Female,Intact,3650,Catahoula Mix,Blue Merle
A688826,Misty,Tuesday,Transfer,Partner,Dog,Female,Intact,3650,Border Collie Mix,Black/White
A691863,,Saturday,Adoption,,Dog,Female,Spayed,1825,Chihuahua Shorthair Mix,Tan/White
A671426,Big Red,Sunday,Adoption,,Dog,Male,Neutered,1095,American Staffordshire Terrier/Labrador Retriever,Tan/White
A683764,Pavel,Thursday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Black
A687404,,Thursday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Tortie
A674729,Hannah,Friday,Transfer,Partner,Dog,Female,Spayed,1095,Manchester Terrier Mix,Black/Tan
A683992,,Tuesday,Died,In Kennel,Dog,Male,Intact,21,Chihuahua Longhair Mix,Black/Brown
A691503,Dixie,Sunday,Adoption,,Dog,Female,Spayed,124,Chihuahua Shorthair Mix,Buff
A702133,Bo,Thursday,Return_to_owner,,Dog,Male,Neutered,1825,Pit Bull Mix,Blue
A712123,,Friday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Cream Tabby
A697071,Benji,Sunday,Adoption,,Dog,Male,Neutered,186,Rat Terrier/Cardigan Welsh Corgi,Black/Gray
A663019,Johnny,Saturday,Adoption,Foster,Dog,Male,Neutered,62,Chihuahua Shorthair Mix,Brown/Black
A667792,,Wednesday,Transfer,Partner,Dog,Female,Spayed,730,Jack Russell Terrier/Dachshund,Black/Brown
A717093,Bambi,Saturday,Transfer,Partner,Dog,Female,Intact,1825,Chihuahua Shorthair Mix,Tan
A715488,,Monday,Transfer,Partner,Dog,Male,Intact,365,Miniature Pinscher Mix,Brown
A669131,Lucky,Saturday,Adoption,,Dog,Male,Neutered,730,Labrador Retriever Mix,Black/White
A717554,Lucky,Saturday,Adoption,,Dog,Male,Neutered,1825,Dachshund Mix,Tan/White
A706488,,Monday,Transfer,Partner,Cat,Unknown,Unknown,7,Domestic Shorthair Mix,Orange Tabby
A656510,Sonny,Wednesday,Adoption,Foster,Cat,Male,Neutered,2555,Domestic Medium Hair Mix,Black
A691170,Butter,Monday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Cream Tabby
A668524,Bonita,Tuesday,Adoption,Foster,Dog,Female,Spayed,62,Chihuahua Shorthair,Tan/White
A667606,Treasure,Sunday,Adoption,Offsite,Cat,Female,Spayed,93,Domestic Shorthair Mix,Torbie
A665066,Gigi,Sunday,Adoption,,Dog,Female,Spayed,1460,Border Collie/Chow Chow,Black
A676339,Edward,Thursday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby/White
A697673,,Friday,Transfer,SCRP,Cat,Unknown,Unknown,365,Domestic Shorthair Mix,Brown Tabby/White
A674674,,Sunday,Transfer,Partner,Cat,Male,Intact,7,Domestic Shorthair Mix,Brown Tabby/White
A702031,Brimmer,Sunday,Transfer,Partner,Dog,Male,Intact,730,English Setter Mix,White/Brown
A692470,,Monday,Transfer,Partner,Dog,Female,Spayed,365,Miniature Poodle Mix,White
A714466,Sam,Monday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black
A705975,Laramie,Sunday,Adoption,,Cat,Female,Spayed,31,Domestic Shorthair Mix,Black/White
A683867,Blondie,Friday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Orange Tabby/White
A685051,,Saturday,Transfer,SCRP,Cat,Male,Intact,93,Domestic Shorthair Mix,Brown Tabby
A684951,,Sunday,Transfer,Partner,Dog,Female,Intact,62,Chihuahua Shorthair Mix,Black
A662946,Lyle,Monday,Transfer,Partner,Dog,Male,Neutered,365,Dachshund Mix,Tan
A670902,Penny,Monday,Transfer,Partner,Dog,Male,Neutered,279,Pomeranian Mix,Cream
A664052,Valentine,Tuesday,Adoption,,Dog,Female,Spayed,1825,Pit Bull Mix,Brown/White
A700710,Buck,Thursday,Adoption,,Dog,Male,Neutered,310,Chihuahua Shorthair Mix,Black/White
A673180,Chuck,Tuesday,Transfer,Partner,Cat,Male,Neutered,1825,Domestic Longhair Mix,Cream Tabby
A655529,Rhino,Monday,Transfer,Partner,Dog,Male,Neutered,365,Boxer/Pit Bull,White/Tan
A661681,Annie,Sunday,Adoption,Foster,Cat,Female,Spayed,730,Domestic Shorthair Mix,Brown Tabby/White
A688232,Sally,Wednesday,Transfer,Partner,Dog,Female,Spayed,1825,Labrador Retriever Mix,White
A711132,Stomper,Thursday,Return_to_owner,,Dog,Male,Neutered,730,Basset Hound Mix,White/Tricolor
A653745,Silvercloud,Tuesday,Return_to_owner,,Dog,Male,Neutered,1095,Pit Bull Mix,Blue/White
A677663,Riley,Friday,Adoption,,Dog,Female,Intact,62,Greater Swiss Mountain Dog Mix,Tricolor/White
A662260,Todd,Tuesday,Transfer,Partner,Cat,Male,Neutered,155,Domestic Shorthair Mix,Black
A696877,Rufus,Wednesday,Adoption,,Dog,Male,Neutered,730,Labrador Retriever Mix,Chocolate/White
A706462,,Monday,Died,,Cat,Unknown,Unknown,7,Domestic Shorthair Mix,Orange Tabby
A698392,Chief,Saturday,Return_to_owner,,Dog,Male,Neutered,217,German Shepherd,Sable/Black
A714805,Dolly,Monday,Adoption,Foster,Cat,Female,Spayed,93,Domestic Shorthair Mix,Calico
A706293,Nana,Wednesday,Adoption,,Dog,Female,Spayed,2190,Chihuahua Shorthair Mix,Brown
A674384,Sofie,Saturday,Adoption,,Dog,Female,Spayed,1460,Border Collie Mix,White/Black
A717683,Tabitha,Monday,Adoption,,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Brown Tabby
A699961,Lil Bear,Sunday,Transfer,Partner,Dog,Male,Neutered,365,Chihuahua Shorthair Mix,Brown/Tan
A682808,,Monday,Adoption,,Dog,Male,Neutered,124,German Shepherd Mix,Chocolate/Tan
A683239,X,Friday,Transfer,Partner,Cat,Female,Intact,1825,Domestic Shorthair Mix,Torbie/White
A718343,,Sunday,Transfer,Partner,Dog,Male,Intact,31,Chihuahua Shorthair Mix,Brown/Black
A716587,,Wednesday,Transfer,SCRP,Cat,Female,Intact,730,Domestic Shorthair Mix,Tricolor
A673190,Charlotte,Sunday,Adoption,,Cat,Female,Spayed,365,Domestic Longhair Mix,Brown Tabby
A716113,,Friday,Adoption,,Cat,Female,Spayed,124,Domestic Shorthair Mix,Torbie/White
A668579,Chico,Saturday,Transfer,Partner,Dog,Male,Neutered,310,Chihuahua Shorthair Mix,Chocolate/White
A703745,Coco,Saturday,Return_to_owner,,Dog,Female,Spayed,4380,Labrador Retriever/Doberman Pinsch,Chocolate/Tan
A701935,,Wednesday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Brown Tabby
A700318,Charles,Wednesday,Transfer,Partner,Dog,Male,Neutered,2190,Pit Bull Mix,Brown Brindle/White
A675162,Pequena,Tuesday,Return_to_owner,,Cat,Female,Spayed,1460,Domestic Shorthair Mix,Torbie
A710969,Dax,Wednesday,Return_to_owner,,Dog,Male,Neutered,2190,Dachshund/Bull Terrier,Brown
A624128,Kitty Kitty,Tuesday,Transfer,Partner,Cat,Male,Neutered,1825,Domestic Shorthair Mix,Orange Tabby
A717681,,Wednesday,Transfer,SCRP,Cat,Male,Neutered,124,Domestic Shorthair Mix,Brown Tabby
A598610,Ellie,Saturday,Adoption,,Dog,Female,Spayed,1095,Australian Kelpie Mix,Black Brindle
A703207,Toffee,Tuesday,Adoption,,Dog,Female,Spayed,730,German Shepherd Mix,Sable
A664460,,Saturday,Transfer,Partner,Dog,Male,Intact,5475,Dachshund Mix,Brown
A715778,Sugar,Monday,Transfer,Partner,Cat,Female,Spayed,365,Siamese Mix,Tortie Point/Lynx Point
A652148,Rocky,Saturday,Transfer,Partner,Cat,Male,Neutered,730,Domestic Shorthair,Orange Tabby/White
A664238,,Tuesday,Euthanasia,Medical,Cat,Unknown,Unknown,124,American Shorthair Mix,Black/White
A680703,,Friday,Transfer,Partner,Cat,Female,Intact,7,Domestic Shorthair Mix,Calico
A709491,Bambi,Thursday,Adoption,,Dog,Female,Spayed,155,Pit Bull Mix,Fawn
A665427,,Sunday,Transfer,SCRP,Cat,Female,Intact,365,Domestic Shorthair Mix,Blue
A703769,Loki,Saturday,Return_to_owner,,Dog,Male,Neutered,730,German Shepherd Mix,Tricolor
A677811,Raven,Friday,Transfer,Partner,Cat,Male,Intact,31,Domestic Shorthair Mix,Black
A682522,Pixie,Tuesday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,Brown Tabby
A692294,,Tuesday,Transfer,Partner,Dog,Male,Intact,31,Chihuahua Shorthair Mix,Brown Brindle/Black
A689172,,Tuesday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,Orange Tabby
A704507,,Tuesday,Adoption,,Dog,Male,Neutered,310,Miniature Schnauzer Mix,Black/Buff
A665277,Coco,Saturday,Adoption,,Dog,Female,Spayed,31,Rat Terrier Mix,Tricolor
A696688,Mari,Tuesday,Adoption,,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Calico/White
A668537,Eedo,Monday,Transfer,Partner,Dog,Male,Neutered,365,Miniature Pinscher Mix,Black/Tan
A719180,Nobbs,Monday,Adoption,,Dog,Male,Neutered,217,Cardigan Welsh Corgi Mix,White/Black
A701145,,Saturday,Transfer,SCRP,Cat,Male,Neutered,2555,Domestic Medium Hair,Black/White
A675076,Max,Saturday,Adoption,,Dog,Male,Neutered,1825,Rottweiler Mix,Black/Tan
A670686,Jules,Saturday,Return_to_owner,,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Black
A712447,Mj,Friday,Adoption,,Dog,Female,Spayed,1460,Chihuahua Shorthair Mix,Tan/White
A709748,,Monday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,White
A660633,Willow,Monday,Return_to_owner,,Cat,Female,Spayed,365,Domestic Shorthair Mix,Torbie
A704382,Sky,Sunday,Adoption,,Dog,Female,Spayed,730,Pit Bull/Boxer,Blue/White
A711799,,Saturday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Brown Tabby
A690875,Domino,Saturday,Transfer,Partner,Dog,Female,Spayed,186,Labrador Retriever/Border Collie,Black/White
A720699,Harvey Dent,Sunday,Adoption,,Dog,Male,Neutered,730,Pit Bull Mix,White/Brown Brindle
A659671,Carter,Thursday,Return_to_owner,,Dog,Male,Neutered,365,Redbone Hound Mix,Red
A689295,Shakespeare,Wednesday,Euthanasia,Suffering,Cat,Male,Intact,31,Domestic Shorthair Mix,Brown Tabby/White
A676272,,Sunday,Adoption,Offsite,Cat,Female,Spayed,31,Domestic Shorthair Mix,Blue
A700942,,Tuesday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,White/Black
A704786,Pickles,Thursday,Adoption,Foster,Cat,Female,Spayed,93,Domestic Shorthair Mix,Brown Tabby
A657732,Bella,Saturday,Adoption,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Tricolor
A689773,Lucy,Friday,Adoption,,Dog,Female,Spayed,62,Beagle Mix,White/Orange
A716390,Bullet,Sunday,Return_to_owner,,Dog,Male,Intact,155,Bull Terrier,Brown Brindle/White
A706292,Rusty,Wednesday,Transfer,Partner,Dog,Male,Intact,365,Chihuahua Shorthair Mix,Brown/White
A704607,Midnight,Sunday,Return_to_owner,,Dog,Female,Spayed,5475,Pembroke Welsh Corgi Mix,Black
A661608,Molly,Saturday,Return_to_owner,,Dog,Female,Spayed,730,Jack Russell Terrier,Tricolor
A694229,Pete,Saturday,Return_to_owner,,Dog,Male,Neutered,365,Dachshund,Black/Brown
A685370,Dixon,Monday,Adoption,,Dog,Male,Neutered,62,Labrador Retriever Mix,Black/White
A719518,Batman,Tuesday,Adoption,,Cat,Female,Spayed,155,Domestic Shorthair Mix,Black Tabby
A660979,Mia,Wednesday,Transfer,Partner,Dog,Female,Spayed,1460,Toy Poodle/Maltese,White
A670251,,Sunday,Transfer,SCRP,Cat,Female,Spayed,310,Domestic Shorthair Mix,Brown Tabby
A690816,Chrissie,Tuesday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby/White
A699217,Joey,Saturday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A711514,Dakota,Saturday,Adoption,Foster,Dog,Female,Spayed,62,Australian Cattle Dog Mix,Blue Merle/White
A717544,,Monday,Transfer,SCRP,Cat,Male,Neutered,155,Domestic Shorthair Mix,Black/White
A663135,Max,Thursday,Adoption,Foster,Dog,Male,Neutered,1825,German Shepherd Mix,Brown/Black
A702673,Rocko,Thursday,Adoption,,Dog,Male,Neutered,62,Australian Cattle Dog Mix,Brown Merle
A615299,Buddy,Saturday,Adoption,,Dog,Male,Neutered,1460,Bullmastiff Mix,Brown/White
A676330,Bella,Wednesday,Adoption,Foster,Dog,Female,Spayed,186,Smooth Fox Terrier Mix,Tan
A715435,,Saturday,Adoption,,Dog,Female,Spayed,62,Labrador Retriever Mix,White/Brown
A703886,,Thursday,Transfer,Partner,Dog,Female,Spayed,62,German Shepherd Mix,Brown/Black
A702355,,Monday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Calico Point
A695421,Percy,Monday,Transfer,Barn,Cat,Male,Neutered,1095,Domestic Shorthair Mix,Black
A668094,Savannah,Saturday,Transfer,Partner,Dog,Female,Spayed,730,Pit Bull Mix,Black Brindle/White
A702219,Daphnie,Tuesday,Return_to_owner,,Dog,Female,Spayed,4380,Yorkshire Terrier Mix,Tan/Gray
A718558,Rocko,Monday,Return_to_owner,,Dog,Male,Neutered,2920,Lhasa Apso Mix,Black/White
A689461,Walker,Sunday,Adoption,,Dog,Male,Neutered,365,Labrador Retriever Mix,Black/White
A689417,Franky,Thursday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black/White
A381173,Pepper,Wednesday,Return_to_owner,,Dog,Female,Spayed,5110,Labrador Retriever Mix,Brown/White
A671681,,Thursday,Transfer,SCRP,Cat,Unknown,Unknown,730,Domestic Longhair Mix,Black/White
A717485,,Wednesday,Adoption,,Cat,Female,Spayed,186,Domestic Shorthair Mix,Torbie/White
A682194,Shimi,Thursday,Return_to_owner,,Cat,Female,Spayed,730,Domestic Shorthair Mix,Calico
A712523,,Thursday,Transfer,Partner,Cat,Unknown,Unknown,21,Domestic Shorthair Mix,Black
A672179,Spike,Friday,Return_to_owner,,Dog,Male,Neutered,730,Catahoula Mix,Blue Merle/Brown
A687539,Eponine,Tuesday,Adoption,Foster,Cat,Female,Spayed,62,Siamese Mix,Lynx Point
A667726,,Monday,Adoption,,Dog,Male,Neutered,93,Labrador Retriever Mix,Black/White
A680459,Blynken,Sunday,Adoption,Foster,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby
A708822,Jack,Monday,Transfer,Partner,Dog,Male,Intact,1460,Shih Tzu/Maltese,White/Blue
A693633,Shadow,Tuesday,Return_to_owner,,Dog,Male,Neutered,365,Scottish Terrier/Miniature Poodle,Black/White
A673847,Steamer,Sunday,Transfer,Partner,Dog,Male,Neutered,4380,Cocker Spaniel Mix,Black/Brown
A712880,Jonse,Monday,Return_to_owner,,Cat,Male,Neutered,155,Domestic Shorthair Mix,Orange Tabby
A679941,,Thursday,Adoption,,Dog,Male,Neutered,365,Chihuahua Shorthair Mix,Red/White
A689633,,Thursday,Transfer,SCRP,Cat,Unknown,Unknown,124,Domestic Shorthair Mix,Blue
A719100,Max,Sunday,Return_to_owner,,Dog,Male,Neutered,310,Anatol Shepherd Mix,Tan/Black
A686405,,Thursday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Orange Tabby/White
A669144,Russell,Tuesday,Transfer,Partner,Cat,Male,Neutered,365,Domestic Longhair Mix,Blue Tabby
A662398,Buddy,Friday,Adoption,,Dog,Male,Neutered,730,American Pit Bull Terrier Mix,Tan/White
A691456,Willy,Tuesday,Adoption,Foster,Cat,Male,Neutered,93,Domestic Shorthair Mix,Blue Tabby/White
A705702,Tiger,Sunday,Transfer,SCRP,Cat,Female,Intact,365,Domestic Shorthair Mix,Brown Tabby
A696760,Chance,Wednesday,Euthanasia,Suffering,Dog,Male,Neutered,1095,Labrador Retriever Mix,Black/White
A676987,Skyler,Tuesday,Adoption,,Dog,Female,Spayed,365,German Shepherd/Labrador Retriever,Black Brindle/White
A693553,Darrell,Sunday,Transfer,Partner,Dog,Male,Neutered,1460,Pug Mix,Fawn
A670356,Siren,Saturday,Adoption,,Dog,Male,Neutered,62,Chihuahua Shorthair Mix,Brown/Tan
A710801,,Friday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby/White
A669918,,Friday,Adoption,,Dog,Female,Spayed,93,Labrador Retriever Mix,Tan/White
A680773,,Saturday,Transfer,Partner,Dog,Unknown,Unknown,2,Dachshund Mix,Black
A717560,Milo,Friday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Orange Tabby
A705708,,Wednesday,Return_to_owner,,Cat,Female,Intact,730,Domestic Longhair Mix,Torbie
A715218,Tyra,Tuesday,Transfer,Partner,Cat,Female,Spayed,93,Domestic Shorthair Mix,Tortie
A698184,Dolley,Friday,Transfer,Partner,Dog,Female,Spayed,1095,Pit Bull Mix,Blue/White
A696479,Chocolate,Sunday,Adoption,,Cat,Male,Neutered,365,Domestic Medium Hair Mix,Black
A715618,,Tuesday,Transfer,Partner,Dog,Male,Intact,730,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A696866,Jewel,Saturday,Adoption,Offsite,Dog,Female,Spayed,1825,Maltese Mix,White
A588258,Diamond,Saturday,Adoption,Foster,Dog,Female,Spayed,2920,German Shepherd Mix,Black/Tan
A669845,Smokey,Thursday,Transfer,Partner,Dog,Male,Neutered,730,Pit Bull Mix,Blue/White
A718473,Tator Tots,Tuesday,Transfer,Partner,Cat,Male,Neutered,1825,Siamese Mix,Seal Point
A689355,Watson,Sunday,Adoption,,Cat,Male,Neutered,155,Domestic Shorthair Mix,Black
A703464,,Monday,Euthanasia,Suffering,Cat,Unknown,Unknown,28,Domestic Shorthair Mix,Brown Tabby
A710367,Lasienaga,Sunday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby
A704361,Nala,Thursday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,Torbie
A702052,,Saturday,Transfer,SCRP,Cat,Unknown,Unknown,62,Domestic Medium Hair Mix,Black/White
A711241,Nigel,Thursday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Brown Tabby
A649865,Ruffles,Thursday,Return_to_owner,,Dog,Male,Neutered,365,Chihuahua Shorthair Mix,Tan
A706342,Lois,Saturday,Adoption,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Brown/White
A708139,Swoberdie,Sunday,Return_to_owner,,Dog,Male,Neutered,2555,Labrador Retriever Mix,Black
A700748,,Monday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A703226,Princess,Sunday,Return_to_owner,,Dog,Female,Spayed,730,Dachshund Mix,Brown
A681025,Simone,Friday,Adoption,,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,Red/White
A707249,Hunter,Tuesday,Transfer,Partner,Dog,Male,Intact,2555,German Shepherd,Sable
A710621,Gabby,Friday,Adoption,Foster,Cat,Female,Spayed,62,Manx Mix,Brown Tabby/White
A692000,Addy,Wednesday,Adoption,,Dog,Female,Spayed,279,Labrador Retriever Mix,Tan
A716162,Joker,Monday,Return_to_owner,,Dog,Male,Neutered,365,Australian Cattle Dog Mix,Black/Brown
A563302,Cypress,Saturday,Return_to_owner,,Dog,Male,Neutered,2190,Labrador Retriever,Buff
A712549,Beau,Wednesday,Adoption,,Dog,Male,Neutered,730,Beauceron Mix,Black/Tan
A666512,Puffball,Saturday,Adoption,,Cat,Male,Neutered,2920,Domestic Medium Hair Mix,Black
A705271,,Wednesday,Transfer,Partner,Cat,Male,Intact,28,Domestic Shorthair,Black/White
A694917,Alphonse,Monday,Transfer,Partner,Dog,Male,Neutered,365,Labrador Retriever Mix,Black/White
A700011,,Monday,Transfer,Partner,Cat,Male,Intact,21,Domestic Medium Hair Mix,Blue Tabby
A629077,Queenie,Friday,Return_to_owner,,Dog,Female,Spayed,2555,Pit Bull Mix,White/Brown
A720940,Justin,Friday,Adoption,,Dog,Male,Neutered,365,Chihuahua Shorthair Mix,White
A677816,Arty,Friday,Adoption,,Cat,Male,Neutered,365,Domestic Shorthair Mix,Orange Tabby/White
A689274,Giblet,Tuesday,Adoption,Foster,Cat,Male,Neutered,93,Domestic Shorthair Mix,Black
A671142,Francie,Saturday,Adoption,,Dog,Female,Spayed,730,Beagle/Labrador Retriever,Brown/White
A682649,Princess,Tuesday,Return_to_owner,,Dog,Female,Intact,124,American Pit Bull Terrier/Chinese Sharpei,Fawn/White
A698639,,Monday,Transfer,SCRP,Cat,Male,Intact,365,Domestic Longhair Mix,Blue
A681352,Charlotte,Saturday,Adoption,Foster,Cat,Female,Spayed,62,Domestic Shorthair Mix,Blue Tabby
A665782,,Saturday,Transfer,Partner,Dog,Female,Spayed,124,Pit Bull Mix,Tricolor
A685672,Honey,Wednesday,Return_to_owner,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Tan
A713401,Larry,Monday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Black
A674481,Gracie,Thursday,Return_to_owner,,Dog,Female,Spayed,1460,Dachshund Mix,Red Merle/White
A704665,,Sunday,Transfer,Partner,Cat,Unknown,Unknown,21,Domestic Shorthair Mix,Orange Tabby
A719276,Posh,Monday,Return_to_owner,,Dog,Female,Spayed,5840,Pekingese,White
A707482,,Saturday,Transfer,Partner,Dog,Female,Spayed,124,Dachshund Mix,Brown
A690833,Marmalade,Tuesday,Euthanasia,Suffering,Cat,Male,Intact,28,Domestic Shorthair Mix,White/Orange Tabby
A681156,,Tuesday,Adoption,,Dog,Male,Neutered,93,Chihuahua Shorthair/Dachshund,Tan/White
A673571,,Wednesday,Euthanasia,Suffering,Dog,Male,Intact,730,Cardigan Welsh Corgi Mix,Black/White
A718609,Cierra,Wednesday,Transfer,Partner,Dog,Female,Intact,2190,Chihuahua Shorthair Mix,White/Tan
A702075,Rocky,Tuesday,Adoption,Foster,Dog,Male,Neutered,4015,Rottweiler/Rhod Ridgeback,Brown/White
A687517,,Thursday,Transfer,Partner,Cat,Female,Spayed,186,Domestic Shorthair Mix,Tortie
A702178,Bailey,Friday,Adoption,,Dog,Female,Spayed,730,Australian Shepherd Mix,Black/Tricolor
A716493,Missy,Sunday,Return_to_owner,,Dog,Female,Spayed,3285,Dachshund Mix,White/Brown
A702230,,Tuesday,Transfer,SCRP,Cat,Male,Intact,730,Siamese Mix,Seal Point
A681489,Juni,Tuesday,Adoption,,Dog,Female,Spayed,1095,Doberman Pinsch,Black/Brown
A690977,Willie,Friday,Adoption,,Dog,Male,Neutered,730,Pekingese Mix,Tan/White
A676021,,Thursday,Transfer,Partner,Cat,Female,Intact,3,Domestic Shorthair Mix,Black Tabby
A701124,Charlie,Tuesday,Return_to_owner,,Dog,Male,Neutered,730,Chihuahua Shorthair Mix,White
A619636,Boomer,Saturday,Adoption,,Dog,Male,Neutered,1095,Old English Bulldog Mix,White/Brown Brindle
A703329,Persimmon,Sunday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,White/Brown Tabby
A675146,Desmo,Friday,Adoption,,Cat,Male,Neutered,365,Domestic Shorthair Mix,Brown Tabby
A681981,Lucy,Saturday,Adoption,,Dog,Female,Spayed,730,Ibizan Hound Mix,Tan/White
A616489,Lola,Thursday,Return_to_owner,,Dog,Female,Spayed,1095,Beagle Mix,Tan/White
A634858,Maggie,Friday,Adoption,,Dog,Female,Spayed,1095,Yorkshire Terrier Mix,Black/Brown
A687010,,Saturday,Transfer,Partner,Cat,Male,Intact,7,Domestic Shorthair Mix,Orange Tabby
A667185,Arya,Sunday,Adoption,,Dog,Female,Spayed,730,Boston Terrier Mix,Black Brindle/White
A677516,,Saturday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Blue
A700632,,Friday,Return_to_owner,,Dog,Male,Neutered,62,Chihuahua Shorthair Mix,Black/White
A719538,Marisella,Thursday,Died,In Foster,Cat,Female,Intact,6,Domestic Longhair Mix,Calico
A666043,Dirk,Tuesday,Adoption,Foster,Cat,Male,Neutered,365,Domestic Shorthair,Black
A686942,,Tuesday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Orange Tabby/White
A692882,Zippy,Saturday,Transfer,SCRP,Cat,Male,Neutered,2190,Domestic Longhair Mix,Orange Tabby/White
A685298,Mia,Sunday,Adoption,Foster,Cat,Female,Spayed,365,Siamese Mix,Lynx Point
A718145,Archie,Thursday,Return_to_owner,,Dog,Male,Neutered,1460,Labrador Retriever Mix,Tricolor
A694292,Susan,Friday,Transfer,Partner,Cat,Female,Intact,62,Domestic Shorthair Mix,Brown Tabby
A683670,Kylie,Friday,Adoption,,Dog,Female,Spayed,186,Dachshund/Whippet,Red/White
A702443,,Tuesday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby/White
A718264,Maya,Monday,Return_to_owner,,Dog,Female,Spayed,730,Pit Bull Mix,Red
A690777,Cookie,Sunday,Return_to_owner,,Dog,Male,Neutered,730,Rat Terrier Mix,Tan/White
A680538,Blu,Sunday,Adoption,Foster,Cat,Female,Intact,31,Domestic Shorthair Mix,Blue Tabby
A673515,Charlie,Monday,Adoption,,Dog,Male,Neutered,730,Cairn Terrier Mix,Brown Brindle/White
A699843,Hades,Tuesday,Adoption,,Dog,Male,Neutered,124,Rottweiler Mix,Black/Tan
A720214,Blessing,Thursday,Adoption,,Dog,Female,Spayed,1095,Labrador Retriever Mix,Red/White
A512959,Grif,Sunday,Adoption,,Dog,Male,Neutered,2190,German Shepherd Mix,Brown/Black
A668231,Petey,Tuesday,Transfer,Partner,Cat,Male,Intact,62,Domestic Shorthair,Black Tabby
A701765,Angel,Sunday,Adoption,,Dog,Female,Spayed,730,Miniature Poodle Mix,White
A701910,Maia,Sunday,Euthanasia,Behavior,Dog,Female,Spayed,365,American Staffordshire Terrier Mix,Blue/White
A666545,,Tuesday,Transfer,SCRP,Cat,Female,Intact,1095,Domestic Shorthair Mix,Brown Tabby
A713610,Poppi,Friday,Transfer,Partner,Dog,Female,Spayed,365,Labrador Retriever/Border Collie,Black/White
