animalid,name,datetime,holiday,outcometype,outcomesubtype,animaltype,sex,castration,agegroup,breed,color
A686631,Kasey,Wednesday,False,Adoption,,Dog,Female,Spayed,puppy,Border Collie Mix,Chocolate/White
A682809,,Monday,False,Adoption,,Dog,Female,Spayed,adult,Siberian Husky Mix,Black/White
A718664,Cory,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,West Highland Mix,White/Tan
A706467,,Monday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby/White
A668755,Sam,Sunday,False,Return_to_owner,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Orange Tabby/White
A490776,Buddy,Sunday,False,Return_to_owner,,Dog,Male,Neutered,,Miniature Schnauzer Mix,Silver/Brown
A678581,Pablo,Thursday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,White/Brown Tabby
A670459,Panda,Wednesday,False,Transfer,Partner,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Black/White
A674785,Millie,Tuesday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Chihuahua Shorthair/Dachshund Wirehair,Black
A655039,Coral,Monday,True,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Orange Tabby/White
A713572,Seven,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Pit Bull/Basset Hound,Brown Brindle
A697308,Jasmine,Wednesday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,Brown/Tan
A716413,Marcel,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Picardy Sheepdog Mix,Cream
A680498,,Tuesday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Gray Tabby
A669153,Winston,Wednesday,False,Adoption,,Dog,Male,Neutered,,Chinese Sharpei Mix,Tan/White
A712859,Abby,Wednesday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A683349,Luke,Thursday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A678583,,Monday,False,Transfer,SCRP,Cat,Female,Intact,adult,Domestic Shorthair Mix,White/Orange Tabby
A702948,,Tuesday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby
A699764,Penny,Saturday,False,Adoption,Foster,Dog,Female,Spayed,adult,Shih Tzu,Brown/White
A674310,Petey,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,Australian Cattle Dog/Pit Bull,White
A685921,,Tuesday,False,Adoption,,Dog,Female,Spayed,puppy,German Shepherd Mix,Brown/Black
A687166,Buddy,Thursday,False,Adoption,Foster,Dog,Male,Intact,puppy,Patterdale Terr Mix,Black/White
A688951,Gustav,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Fawn
A671512,Dipper,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Labrador Retriever Mix,Brown
A706430,Journey,Friday,False,Adoption,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,Fawn/White
A666501,,Saturday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Blue Tabby
A716931,,Tuesday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,White
A701589,,Saturday,False,Return_to_owner,,Dog,Female,Intact,adult,Boston Terrier Mix,Black/White
A699737,Loki,Friday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Labrador Retriever Mix,White/Brown
A677189,Luna,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Labrador Retriever Mix,Tan/White
A676043,Kayne,Wednesday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Fawn/White
A715338,,Wednesday,False,Died,Enroute,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,White/Orange Tabby
A701501,,Sunday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Medium Hair Mix,Brown Tabby
A661627,Oreo,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Labrador Retriever/German Shepherd,Chocolate
A676114,,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Brown
A701795,Butch,Friday,False,Adoption,,Dog,Male,Neutered,puppy,Chihuahua Shorthair Mix,Black/White
A669602,Lee,Monday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby
A719850,Jimbo,Thursday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Labrador Retriever Mix,Black/White
A704408,Bon Bon,Tuesday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A650768,Elvis,Tuesday,False,Return_to_owner,,Dog,Male,Intact,,Chihuahua Shorthair Mix,Red
A668009,,Friday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,White/Brown Tabby
A661949,Marty,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A711748,,Tuesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Tortie
A668881,Ford,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,Catahoula Mix,Brown Merle/White
A695822,Potato,Friday,False,Adoption,,Dog,Female,Spayed,puppy,Cardigan Welsh Corgi Mix,White/Brown
A702495,Tish,Wednesday,False,Transfer,Partner,Dog,Female,Spayed,,Pit Bull Mix,Red
A682795,Winnie,Tuesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Torbie/White
A646234,Tee Nine E,Wednesday,False,Transfer,Partner,Dog,Female,Spayed,adult,Maltese/Miniature Poodle,White
A716914,Twinkle,Monday,False,Adoption,,Dog,Female,Spayed,adult,Pit Bull Mix,Blue Tiger/White
A686161,Ringo,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair,Black/White
A715393,Argos,Wednesday,True,Adoption,,Dog,Male,Neutered,,Queensland Heeler Mix,Blue Merle
A698136,Summer,Friday,False,Return_to_owner,,Dog,Female,Spayed,adult,Shih Tzu,White/Brown
A646914,Jasper,Tuesday,False,Died,In Kennel,Dog,Male,Neutered,adult,Pembroke Welsh Corgi/Brittany,Black/White
A687659,R-Two,Wednesday,False,Adoption,,Dog,Male,Neutered,puppy,Pit Bull Mix,Chocolate/White
A698059,Katydid,Monday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Torbie
A682959,,Saturday,False,Transfer,Partner,Dog,Male,Intact,puppy,Jack Russell Terrier Mix,Black/Tan
A710674,Bentley,Friday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Bull Terrier,Brown Brindle
A712576,Grayson,Thursday,False,Died,In Kennel,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Tabby/White
A682415,,Saturday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Longhair Mix,Black
A663731,Samantha,Saturday,False,Adoption,Foster,Cat,Female,Spayed,senior,Persian Mix,Black
A692600,Diamond,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,adult,Dalmatian Mix,White/Black
A713887,Alexander,Thursday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby
A633943,Chalky,Friday,False,Adoption,,Dog,Male,Neutered,aging_dog,Miniature Pinscher Mix,Brown
A704204,,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A670792,,Wednesday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A718077,Kaiser,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever Mix,Black
A714266,,Sunday,False,Adoption,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,Tan
A699772,,Thursday,False,Transfer,Partner,Dog,Male,Intact,puppy,Australian Shepherd/Anatol Shepherd,Blue Merle/White
A713098,,Saturday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Siamese Mix,Lynx Point
A669913,Firefly,Saturday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby
A713033,Tank,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever/Pit Bull,Blue/White
A695933,Canelo,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,German Wirehaired Pointer Mix,Brown/White
A682129,,Sunday,False,Adoption,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,Brown
A695339,Bailee,Friday,False,Adoption,,Dog,Female,Spayed,adult,Cocker Spaniel/Chihuahua Shorthair,Black/Tan
A614657,Chloe,Saturday,False,Adoption,,Dog,Female,Spayed,aging_dog,Collie Rough/Pointer,Tan/White
A697730,,Tuesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby/White
A688937,Meggy,Friday,False,Adoption,,Dog,Female,Spayed,adult,Golden Retriever Mix,Yellow
A697261,Roltan,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Schnauzer Giant Mix,Black/White
A608917,Plex,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,American Staffordshire Terrier Mix,Fawn/Tricolor
A693081,Athena,Saturday,False,Adoption,,Dog,Female,Spayed,puppy,German Shepherd Mix,Brown/Black
A685039,Chilli,Sunday,False,Euthanasia,Suffering,Cat,Male,Neutered,senior,Domestic Shorthair Mix,Brown Tabby/White
A671842,Neville,Thursday,False,Adoption,,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Cream Tabby
A709999,,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby/White
A690657,Chewy,Thursday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Chocolate/Tan
A719912,Shipley,Saturday,False,Return_to_owner,,Dog,Female,Intact,adult,Rottweiler Mix,Black/Brown
A619791,Granny,Monday,False,Return_to_owner,,Dog,Female,Spayed,,Chihuahua Shorthair Mix,Tricolor
A697541,Ryder,Thursday,False,Transfer,Partner,Dog,Male,Intact,aging_dog,Pit Bull Mix,Black/White
A708071,,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A714373,Johnson,Wednesday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Medium Hair Mix,Brown Tabby
A700570,Hazel Grace,Saturday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Tortie/Blue Cream
A697995,Oracle,Sunday,False,Transfer,Partner,Dog,Female,Spayed,adult,German Shepherd Mix,White
A706234,Jewel,Tuesday,False,Adoption,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Torbie
A684558,,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A705875,Ash,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Medium Hair Mix,Silver Tabby
A688686,,Tuesday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A692277,Scoobie,Thursday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Pit Bull Mix,Brown Brindle/White
A576705,Blue,Friday,False,Adoption,,Cat,Male,Neutered,adult,Siamese Mix,Lynx Point
A639030,Cate,Sunday,False,Return_to_owner,,Dog,Female,Spayed,,German Shepherd Mix,Tan
A671903,Cowboy,Saturday,False,Return_to_owner,,Dog,Male,Intact,,Great Pyrenees/Anatol Shepherd,White/Tan
A624026,Gretta,Thursday,False,Adoption,,Dog,Female,Spayed,aging_dog,Vizsla/Catahoula,Red/Tan
A667507,Moonie,Tuesday,False,Return_to_owner,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Brown Tabby/White
A675350,Carlie,Sunday,False,Transfer,Partner,Dog,Female,Spayed,adult,Golden Retriever/Great Pyrenees,Cream
A710391,Xander,Wednesday,False,Adoption,,Dog,Male,Neutered,puppy,Chihuahua Shorthair Mix,Tan
A676638,Harrison,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby/White
A676915,Puff,Tuesday,False,Return_to_owner,,Cat,Male,Intact,kitten,Domestic Shorthair,Black/White
A717849,Bossco,Thursday,False,Return_to_owner,,Dog,Male,Neutered,,Pit Bull Mix,Red
A688431,Jaxson,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Labrador Retriever Mix,Yellow
A708512,Nitzia,Tuesday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Chinese Sharpei Mix,Tan
A676664,Shy Guy,Wednesday,False,Adoption,,Dog,Male,Neutered,adult,Schipperke/Chihuahua Shorthair,Black
A674731,Lola,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Dachshund Mix,Brown Brindle/White
A700846,Cosmo,Monday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,White/Chocolate
A662922,Missy,Tuesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Blue Tabby
A711545,Misty,Wednesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A718871,Xena,Saturday,False,Return_to_owner,,Dog,Female,Spayed,adult,Rat Terrier,Tricolor
A713200,Fluffy,Wednesday,False,Adoption,,Dog,Male,Neutered,puppy,Australian Cattle Dog Mix,Brown Merle/White
A698585,Tooter,Friday,False,Return_to_owner,,Cat,Male,Neutered,senior,Domestic Longhair Mix,Orange Tabby
A710650,Adina,Wednesday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Blue/White
A715214,,Wednesday,False,Adoption,,Dog,Female,Spayed,puppy,Cocker Spaniel/Labrador Retriever,Tan/White
A706164,Autumn,Tuesday,False,Transfer,Partner,Dog,Male,Intact,adult,Pit Bull Mix,Blue
A712675,Lady,Saturday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Australian Shepherd Mix,Tricolor
A667831,,Tuesday,False,Transfer,SCRP,Cat,Female,Intact,adult,Domestic Shorthair Mix,Torbie
A715788,Wolf,Monday,True,Adoption,,Dog,Male,Neutered,adult,Siberian Husky,White/Gray
A673910,Dewey,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Toy Poodle Mix,White
A673969,King,Wednesday,False,Transfer,Partner,Dog,Male,Neutered,adult,German Shepherd Mix,Black/Tan
A684616,,Wednesday,False,Adoption,,Dog,Female,Spayed,puppy,German Shepherd/Catahoula,Sable
A697062,Cash,Saturday,False,Transfer,Partner,Dog,Male,Neutered,adult,Plott Hound Mix,Brown Brindle/White
A718946,Chico,Saturday,False,Adoption,,Dog,Male,Neutered,puppy,Chihuahua Shorthair Mix,Tan
A702444,,Thursday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A690742,Big Boy,Saturday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Labrador Retriever Mix,Buff
A653370,Princess,Tuesday,False,Transfer,Partner,Dog,Female,Spayed,adult,Pit Bull Mix,White/Blue
A672721,,Thursday,False,Adoption,,Cat,Female,Spayed,kitten,Siamese Mix,Lilac Point
A701483,,Thursday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby/White
A690088,Ramona,Monday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Medium Hair Mix,Brown Tabby/White
A559692,Cornelius,Sunday,False,Adoption,,Dog,Male,Neutered,,Rottweiler,Black/Tan
A684044,,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A676424,Bossette,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Brown
A681852,Pip,Saturday,False,Adoption,,Cat,Male,Intact,kitten,Domestic Medium Hair Mix,Orange Tabby
A710286,Penny,Monday,False,Adoption,,Dog,Female,Spayed,adult,Swedish Vallhund Mix,Sable
A671051,Sonny,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Chihuahua Longhair Mix,Black/Tan
A675346,,Friday,False,Transfer,SCRP,Cat,Female,Intact,adult,Maine Coon Mix,Brown Tabby
A685587,Paulie,Monday,True,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Tabby
A689764,Hashbrown,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby/White
A682825,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black/White
A701466,,Thursday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A693759,Darcy,Sunday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Chihuahua Longhair Mix,White
A668331,Lulu,Tuesday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Catahoula Mix,Blue Merle/White
A680908,,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Siamese,Flame Point
A702686,,Saturday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A669853,Guinness,Friday,False,Transfer,Partner,Dog,Male,Intact,puppy,Labrador Retriever Mix,Black
A719373,Davio,Saturday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A691445,Ash,Wednesday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Black
A664940,Laika,Monday,False,Euthanasia,Aggressive,Dog,Female,Spayed,adult,Pit Bull Mix,White
A699873,,Friday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black
A668031,Simba,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Rhod Ridgeback,Red
A688139,Jack,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Catahoula Mix,Black/Tricolor
A685520,Maggie,Thursday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Calico
A707865,Xeno,Tuesday,False,Return_to_owner,,Cat,Male,Neutered,senior,Siamese Mix,Seal Point/White
A703381,,Tuesday,False,Euthanasia,Suffering,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A706205,Zelda,Saturday,True,Transfer,Partner,Cat,Female,Spayed,adult,Siamese Mix,Seal Point
A698222,Moonpie,Friday,False,Adoption,Foster,Dog,Female,Spayed,aging_dog,Labrador Retriever Mix,Brown
A687693,Miette,Tuesday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Australian Cattle Dog Mix,Brown/White
A703806,Molly,Friday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby/White
A694499,,Tuesday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Longhair Mix,Black
A683203,Art,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Cream Tabby/White
A694034,,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black Smoke
A715577,Tessa,Tuesday,False,Adoption,,Dog,Female,Spayed,adult,Miniature Schnauzer Mix,Gray
A689261,Buddy,Saturday,False,Return_to_owner,,Dog,Male,Neutered,adult,Dachshund Wirehair Mix,White
A696288,Maya,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Siberian Husky,Red/Tan
A706729,,Friday,True,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A715681,Tiger,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Brown Brindle
A681854,Chingon,Thursday,False,Transfer,Partner,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Black/Tan
A711640,Dallas,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Dachshund/Chihuahua Shorthair,Buff/White
A692760,Bear,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Anatol Shepherd Mix,Cream
A676984,Barney,Monday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Longhair Mix,Black/White
A688492,,Wednesday,False,Euthanasia,Suffering,Dog,Female,Intact,,Rottweiler Mix,Black/Brown
A685946,Cammie,Thursday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Black/White
A706475,,Monday,False,Transfer,Partner,Dog,Male,Intact,adult,Pit Bull Mix,Brown/White
A716046,Randall,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A713332,Janet,Thursday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black/White
A691784,Milton,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A696088,Lexi,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Border Collie/Australian Cattle Dog,Black/White
A643052,Yogi,Monday,False,Transfer,Partner,Cat,Male,Neutered,adult,Domestic Longhair Mix,White/Orange Tabby
A663692,Austin,Tuesday,False,Euthanasia,Aggressive,Dog,Male,Neutered,aging_dog,Plott Hound Mix,Brown Brindle/White
A691046,Volcom,Wednesday,False,Return_to_owner,,Dog,Male,Intact,adult,Siberian Husky Mix,Red/White
A711725,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A673158,Claudius,Saturday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Catahoula Mix,Red/White
A715740,Hoshi,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black Tabby/White
A704593,Trouble,Saturday,False,Return_to_owner,,Dog,Female,Intact,,Australian Cattle Dog Mix,Blue Merle
A670682,,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Chinese Sharpei Mix,Tan/White
A702783,,Thursday,False,Adoption,,Dog,Male,Neutered,puppy,Airedale Terrier/Miniature Schnauzer,Brown Brindle
A701146,,Thursday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Dachshund/Manchester Terrier,Buff/White
A665005,,Tuesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A680126,Murray,Tuesday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Longhair,Black Smoke
A682119,,Sunday,False,Transfer,Partner,Dog,Male,Intact,adult,Newfoundland Mix,Black
A720110,Bronx,Monday,True,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Brown Brindle
A682619,Ebis,Saturday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,German Shepherd Mix,Tan/White
A717893,Rasgo,Friday,False,Adoption,,Dog,Male,Neutered,puppy,Havanese Mix,Apricot
A695968,,Tuesday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Blue
A681477,,Sunday,False,Transfer,Partner,Dog,Male,Intact,puppy,Plott Hound/Labrador Retriever,Tricolor
A685489,,Saturday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,White/Black
A663134,Lobo,Wednesday,False,Adoption,,Dog,Male,Neutered,adult,Queensland Heeler Mix,Blue Merle
A676080,,Thursday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Siamese Mix,Flame Point
A692182,Cruz,Thursday,False,Adoption,,Dog,Male,Neutered,puppy,Border Collie/Dachshund,Black
A705437,Obama,Monday,False,Return_to_owner,,Dog,Male,Intact,adult,German Shepherd,Black/Brown
A531398,Red,Sunday,False,Adoption,,Dog,Male,Neutered,,Chihuahua Shorthair Mix,Brown/White
A687437,Hal,Monday,True,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A698156,Copper,Tuesday,False,Adoption,,Dog,Male,Neutered,puppy,Dachshund/English Foxhound,Tricolor
A694263,Trinity,Friday,False,Adoption,,Dog,Female,Spayed,aging_dog,English Bulldog Mix,Tricolor
A680909,,Thursday,False,Adoption,,Cat,Female,Spayed,kitten,Siamese,Flame Point
A709318,,Tuesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A679738,Max,Thursday,False,Died,In Foster,Dog,Male,Intact,adult,Chihuahua Shorthair Mix,Brown Brindle
A708232,,Friday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black/White
A698690,,Friday,False,Adoption,,Dog,Female,Spayed,puppy,Chihuahua Shorthair Mix,Brown/White
A704969,Allie,Sunday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Tortie
A707492,,Tuesday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A682424,,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby
A710929,,Sunday,False,Transfer,Partner,Dog,Female,Spayed,puppy,Australian Kelpie Mix,Tan/White
A718579,Izzie,Tuesday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Labrador Retriever Mix,Black/White
A686958,Ace,Friday,False,Euthanasia,Aggressive,Dog,Male,Neutered,aging_dog,Pit Bull Mix,Brown Brindle
A662284,Torque,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,Pit Bull Mix,White/Brown
A683594,Trinity,Thursday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Brown Tabby
A709832,Clover,Friday,False,Adoption,,Dog,Female,Spayed,aging_dog,Yorkshire Terrier Mix,Blue/Tan
A662739,Trent,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black/White
A697713,Rambo,Sunday,False,Return_to_owner,,Dog,Male,Neutered,adult,Labrador Retriever/Black Mouth Cur,Tan/White
A670121,Hersheys,Monday,False,Adoption,,Dog,Male,Neutered,puppy,Pit Bull Mix,Chocolate
A670076,Apollo,Friday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Blue/White
A665023,Bear,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Longhair Mix,Cream Tabby
A682709,Endo,Saturday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Boxer Mix,White/Black
A705676,Lacey,Saturday,True,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,White/Tan
A713018,Tyrion,Friday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A675673,,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Cairn Terrier/Yorkshire Terrier,Cream
A716144,Winifred,Monday,False,Return_to_owner,,Dog,Female,Spayed,adult,Cairn Terrier Mix,Tan
A709042,,Wednesday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A716897,Lucy,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Great Pyrenees Mix,White
A669211,Max,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,White/Brown
A715209,Murphy,Tuesday,False,Adoption,,Dog,Female,Spayed,puppy,Cocker Spaniel/Labrador Retriever,White/Brown
A695981,Brady,Thursday,False,Adoption,,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Brown
A683776,,Wednesday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Tortie
A696482,,Monday,False,Transfer,Partner,Dog,Male,Neutered,adult,Bull Terrier Mix,White
A666263,Mimi,Monday,False,Transfer,Partner,Dog,Female,Intact,puppy,Australian Cattle Dog Mix,Red Merle
A666864,Riley,Friday,False,Return_to_owner,,Dog,Female,Spayed,puppy,Labrador Retriever Mix,Brown/White
A713795,,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Buff
A710635,Wally,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Fawn/White
